"ID","Yes","No","Neutral"
"A1",61,1,5
"A2",58,0,9
"A3",59,1,7
"A4",48,1,18
"SI1",45,4,18
"SI2",44,1,22
"SI3",40,9,18
"FC2",34,4,29
"FC3",52,1,14
"FCO1",32,10,25
"SE1",49,5,13
"SE2",31,19,17
"SE3",48,3,16
"AX1",15,38,14
"AX2",41,11,15
"AX3",37,12,18
"BI1",46,1,20
"BI2",43,2,22
"BI3",46,2,19
