"ID","Strongly_Disagree","Disagree","Neutral","Agree","Strongly_Agree","Mean","SD"
"PE1",1,1,6,15,44,4.49253731343284,0.841591823765557
"PE2",2,3,5,21,36,4.28358208955224,0.997055819677687
"PE3",2,1,7,17,40,4.37313432835821,0.950850032714307
"PE4",2,1,9,14,41,4.35820895522388,0.98012820029295
"EE1",1,3,11,26,26,4.08955223880597,0.933084543955774
"EE2",2,2,8,17,38,4.29850746268657,1.00022611645286
"EE3",2,5,11,26,23,3.94029850746269,1.042732381119
"EE4",1,2,11,24,29,4.16417910447761,0.914479731627094
